"module","schema_version","data_version"
"Aheadworks_RewardPoints","1.8.1","1.8.1"
"Amasty_AdvancedReview","1.14.2","1.14.2"
"Amasty_AdvancedReviewGraphQl","1.0.0","1.0.0"
"Amasty_BannersLite","1.0.0","1.0.0"
"Amasty_Base","1.6.3","1.6.3"
"Amasty_Checkout","4.0.0","4.0.0"
"Amasty_CheckoutCore","1.1.0","1.1.0"
"Amasty_CheckoutGraphQl","1.0.0","1.0.0"
"Amasty_CommonRules","1.0.0","1.0.0"
"Amasty_CommonTests","1.0.0","1.0.0"
"Amasty_Conditions","1.5.1","1.5.1"
"Amasty_Conf","2.5.4","2.5.4"
"Amasty_CronScheduleList","1.0.0","1.0.0"
"Amasty_CustomerAttributes","2.2.4","2.2.4"
"Amasty_Faq","2.9.2","2.9.2"
"Amasty_Geoip","1.5.1","1.5.1"
"Amasty_GoogleAccountLogin","1.0.0","1.0.0"
"Amasty_GroupAssign","1.0.5","1.0.5"
"Amasty_HidePrice","1.5.5","1.5.5"
"Amasty_ImageOptimizer","1.0.0","1.0.0"
"Amasty_ImageOptimizerUi","1.0.0","1.0.0"
"Amasty_InvisibleCaptcha","2.2.2","2.2.2"
"Amasty_LazyLoad","1.0.0","1.0.0"
"Amasty_LazyLoadUi","1.0.0","1.0.0"
"Amasty_Mage24Fix","1.0.0","1.0.0"
"Amasty_Mostviewed","2.8.5","2.8.5"
"Amasty_PageSpeedOptimizer","1.9.0","1.9.0"
"Amasty_PageSpeedTools","1.0.0","1.0.0"
"Amasty_Perm","1.0.0","1.0.0"
"Amasty_Preorder","1.3.14","1.3.14"
"Amasty_ProductAttachmentLite","1.0.0","1.0.0"
"Amasty_Promo","2.10.7","2.10.7"
"Amasty_PromoBanners","1.1.0","1.1.0"
"Amasty_PromoMFTF2","1.0.0","1.0.0"
"Amasty_PromoMFTF3","1.0.0","1.0.0"
"Amasty_QuickOrder","1.0.0","1.0.0"
"Amasty_Reindex","1.0.0","1.0.0"
"Amasty_ReportBuilder","1.0.0","1.0.0"
"Amasty_ReportBuilderEstimation","1.0.0","1.0.0"
"Amasty_ReportsToBuilder","1.0.0","1.0.0"
"Amasty_Rewards","1.14.0","1.14.0"
"Amasty_RewardsGraphQl","1.0.0","1.0.0"
"Amasty_Rgrid","1.0.0","1.0.0"
"Amasty_Rma","2.2.0","2.2.0"
"Amasty_Rules","2.5.1","2.5.1"
"Amasty_RulesLoyalty","1.0.0","1.0.0"
"Amasty_RulesPro","1.0.1","1.0.1"
"Amasty_SalesRuleWizard","1.0.0","1.0.0"
"Amasty_ShippingArea","1.0.0","1.0.0"
"Amasty_ShippingTableRates","1.9.4","1.9.4"
"Amasty_Shiprestriction","2.6.0","2.6.0"
"Amasty_Shiprules","2.7.0","2.7.0"
"Amasty_Shopby","2.15.4","2.15.4"
"Amasty_ShopbyBase","2.13.13","2.13.13"
"Amasty_ShopbyBrand","2.10.12","2.10.12"
"Amasty_ShopbyBrandGraphQl","1.0.0","1.0.0"
"Amasty_ShopbyGraphQl","1.0.0","1.0.0"
"Amasty_ShopbyPage","1.0.1","1.0.1"
"Amasty_ShopbySeo","1.0.1","1.0.1"
"Amasty_StoreCredit","1.1.0","1.1.0"
"Amasty_VisualMerch","1.5.2","1.5.2"
"Amasty_VisualMerchCore","1.0.0","1.0.0"
"Amasty_VisualMerchUi","1.0.0","1.0.0"
"Amasty_Xnotif","1.9.0","1.9.0"
"Amazon_Core","3.3.1","3.3.1"
"Amazon_Login","3.3.1","3.3.1"
"Amazon_Payment","3.3.1","3.3.1"
"Auctane_Api","2.5.8","2.5.8"
"Bss_ConfiguableGridView","1.3.5","1.3.5"
"Bss_ConfigurableProductWholesale","1.3.3","1.3.3"
"Ced_Pos","1.0.10","1.0.10"
"Cminds_Salesrep","1.4.5","1.4.5"
"Dotdigitalgroup_Chat","1.0.0","1.0.0"
"Dotdigitalgroup_Email","4.1.0","4.1.0"
"Emipro_Apichange","1.0.15","1.0.15"
"Firebear_ConfigurableProducts","1.6.0","1.6.0"
"Firebear_ImportExport","3.8.7","3.8.7"
"Firebear_ImportExportMsi","1.1.4","1.1.4"
"KiwiCommerce_AdminActivity","1.0.7","1.0.7"
"Klarna_Core","5.2.3","5.2.3"
"Klarna_Kp","6.4.0","6.4.0"
"Klarna_KpGraphQl","0.9.1","0.9.1"
"Klarna_Onsitemessaging","1.0.3","1.0.3"
"Klarna_Ordermanagement","5.0.7","5.0.7"
"Magenest_Core","1.3.1","1.3.1"
"Magenest_QuickBooksOnline","2.6.1","2.6.1"
"Magenest_ZohocrmIntegration","2.1.6","2.1.6"
"Magento_AuthorizenetAcceptjs","1.0.0","1.0.0"
"Magento_ComposerRootUpdatePlugin","0.1.0","0.1.0"
"Magento_DataExporter","42.0.1","42.0.1"
"Magento_GoogleShoppingAds","4.0.1","4.0.1"
"Magento_PageBuilderImageAttribute","1.0.0","1.0.0"
"Magento_PaypalReCaptcha","2.0.0","2.0.0"
"Magento_QueryXml","42.0.0","42.0.0"
"Magento_Securitytxt","1.0.0","1.0.0"
"Magento_ServicesConnector","1.1.0","1.1.0"
"Magento_ServicesId","1.1.0","1.1.0"
"Magento_ServicesIdLayout","1.0.0","1.0.0"
"Mageplaza_AjaxLayer","1.0.0","1.0.0"
"Mageplaza_BetterMaintenance","1.0.0","1.0.0"
